Librosa_GMMCQT_Cluster5

CallMeMaybe_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
Percent recall (3 sec),0.36363636363636365
Percent precision (2 beats),0.14285714285714285
Percent recall (2 beats),0.18181818181818182
Average time between beats,0.49680822083369997
Rand Index Score,0.6824531339253258

Fireflies_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,2.020136054421769,3,NA,NA,NA,NA,NA,NA,NA
2,26.70294784580499,0,26.6666,1,0.03634784580498973,26.6666,0.03634784580498973,26.6666,0.03634784580498973
3,45.836190476190474,4,46.000493,2,-0.16430252380952481,45.333828,0.502362476190477,48.000488,-2.1642975238095232
4,47.18294784580499,2,47.333823,4,-0.1508751541950133,48.000488,-0.817540154195008,48.000488,-0.817540154195008
5,69.35800453514739,0,69.335308,1,0.02269653514738934,69.335308,0.02269653514738934,69.335308,0.02269653514738934
6,91.37052154195011,1,91.333073,2,0.03744854195011271,90.666408,0.7041135419501074,90.666408,0.7041135419501074
7,112.68643990929705,4,112.666353,2,0.02008690929704926,111.999688,0.686751909297044,114.666348,-1.9799080907029492
8,115.37995464852608,0,115.333165,2,0.04678964852608658,114.666348,0.7136066485260812,114.666348,0.7136066485260812
9,158.03501133786847,1,157.999593,2,0.03541833786846382,157.332928,0.7020833378684586,157.332928,0.7020833378684586
10,200.69006802721088,4,200.666153,2,0.023915027210875905,199.999488,0.6905800272108706,199.999488,0.6905800272108706
11,201.36344671201815,2,201.332818,3,0.030628712018142323,202.666148,-1.3027012879818471,199.999488,1.3639587120181318
12,220.68244897959184,3,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.05685092358276478,,0.6178783764172273,,0.9195132417233509
Proximity Scores,,,,0.08527659856564357,,0.9268198816755451,,1.379273310768303
Percent precision (0.5 sec),0.16666666666666666
Percent recall (0.5 sec),0.15384615384615385
Percent precision (3 sec),1.0
Percent recall (3 sec),0.6923076923076923
Percent precision (2 beats),0.6666666666666666
Percent recall (2 beats),0.6153846153846154
Average time between beats,0.6666650000000001
Rand Index Score,0.8553460353589859

OverMyHead_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.23219954648526078,3,NA,NA,NA,NA,NA,NA,NA
2,3.924172335600907,2,3.7360715,4,0.18810083560090707,4.2533125,-0.32914016439909277,4.2533125,-0.32914016439909277
3,21.037278911564627,1,20.8050245,1,0.23225441156462878,20.8050245,0.23225441156462878,37.3567365,-16.31945758843537
4,36.548208616780045,3,36.3222545,3,0.22595411678004496,37.3567365,-0.8085278832199521,37.3567365,-0.8085278832199521
5,62.43845804988662,1,62.1843045,1,0.25415354988661676,62.1843045,0.25415354988661676,62.1843045,0.25415354988661676
6,94.55165532879819,3,94.7704875,4,-0.21883217120181087,95.2877285,-0.7360731712018094,95.2877285,-0.7360731712018094
7,128.73142857142858,0,128.9083935,2,-0.1769649285714081,128.3911525,0.3402760714285762,128.3911525,0.3402760714285762
8,129.24226757369615,4,129.4256345,3,-0.18336692630384732,128.3911525,0.8511150736961497,128.3911525,0.8511150736961497
9,145.28725623582767,1,145.4601055,2,-0.17284926417232782,144.9428645,0.3443917358276565,144.9428645,0.3443917358276565
10,161.86630385487527,2,162.0118175,2,-0.14551364512473697,161.4945765,0.37172735487527575,161.4945765,0.37172735487527575
11,192.93460317460318,3,193.0462775,2,-0.11167432539681954,192.5290365,0.4055666746031932,194.5980005,-1.6633973253968293
12,228.64689342403628,2,NA,NA,NA,NA,NA,NA,NA
Averages,,,,0.1909664174603148,,0.46732260907029505,,2.2018259918367327
Proximity Scores,,,,0.3692020111714169,,0.9034910400959999,,4.2568667059199345
Percent precision (0.5 sec),0.5
Percent recall (0.5 sec),0.46153846153846156
Percent precision (3 sec),0.9166666666666666
Percent recall (3 sec),0.7692307692307693
Percent precision (2 beats),0.8333333333333334
Percent recall (2 beats),0.6923076923076923
Average time between beats,0.517241
Rand Index Score,0.8326682089839984

Solo_Librosa_GMMCQT_Cluster5.csv
Boundary,Boundary_Timestamp,Label,Nearest_Beat,Nearest_Beat_Number,Dist_to_Nearest_Beat,Nearest_Downbeat,Dist_to_Nearest_Downbeat,Nearest_GT_Segment,Dist_to_Nearest_GT_Segment
1,0.09287981859410431,1,NA,NA,NA,NA,NA,NA,NA
2,15.32517006802721,3,15.28844625,2,0.0367238180272107,14.82690825,0.4982618180272098,22.21151625,-6.8863461819727885
3,19.481541950113378,0,19.44228825,3,0.03925370011337748,20.36536425,-0.8838222998866208,22.21151625,-2.7299742998866208
4,20.874739229024943,4,20.82690225,2,0.047836979024943105,20.36536425,0.509374979024944,22.21151625,-1.336777020975056
5,23.196734693877552,1,23.13459225,3,0.0621424438775513,24.05766825,-0.8609335561224469,22.21151625,0.9852184438775531
6,37.01260770975057,4,36.98073225,1,0.03187545975056594,36.98073225,0.03187545975056594,51.74994825,-14.737340540249434
7,39.334603174603174,2,39.28842225,2,0.04618092460317058,38.82688425,0.507718924603175,51.74994825,-12.415345075396829
8,43.932154195011336,3,43.90380225,4,0.02835194501133742,44.36534025,-0.433186054988667,51.74994825,-7.817794054988667
9,49.017324263038546,0,48.98072025,3,0.036604013038548544,49.90379625,-0.8864719869614532,51.74994825,-2.732623986961457
10,50.874920634920635,4,50.82687225,3,0.04804838492063368,51.74994825,-0.8750276150793681,51.74994825,-0.8750276150793681
11,54.102494331065756,2,54.05763825,2,0.04485608106575967,53.59610025,0.506394081065757,51.74994825,2.3525460810657535
12,58.72326530612245,3,58.67301825,4,0.050247056122451283,59.13455625,-0.41129094387755316,51.74994825,6.973317056122447
13,63.80843537414966,0,63.74993625,3,0.05849912414966241,64.67301225,-0.8645768758503394,51.74994825,12.058487124149657
